FileName TelescopeSurvey_TFRM.dat
TelescopeId TFRM
CarrierId TFRM
SurveyList 120
2025/06/21-00:00:00.000 2025/06/21-00:00:30.000      168.763000      -60.360000        0.000000     0.005650000    -0.000550000
2025/06/21-00:00:30.000 2025/06/21-00:01:00.000      224.646000      -63.156500        0.000000     0.005766667    -0.001350000
2025/06/21-00:01:00.000 2025/06/21-00:01:30.000      319.530000      -22.787000        0.000000     0.003366667     0.006200000
2025/06/21-00:01:30.000 2025/06/21-00:02:00.000      268.125000        0.050500        0.000000     0.003200000     0.000716667
2025/06/21-00:02:00.000 2025/06/21-00:02:30.000      322.442000        4.100000        0.000000     0.004466667     0.001250000
2025/06/21-00:02:30.000 2025/06/21-00:03:00.000      315.764000       -1.838000        0.000000     0.020166667    -0.005366667
2025/06/21-00:03:00.000 2025/06/21-00:03:30.000      240.684000       14.693000        0.000000     0.004166667     0.000600000
2025/06/21-00:03:30.000 2025/06/21-00:04:00.000      299.259000       -9.557500        0.000000     0.006100000    -0.000116667
2025/06/21-00:04:00.000 2025/06/21-00:04:30.000      331.162000       -7.688000        0.000000     0.002783333    -0.000583333
2025/06/21-00:04:30.000 2025/06/21-00:05:00.000      283.061000       19.808000        0.000000     0.004300000    -0.000066667
2025/06/21-00:05:00.000 2025/06/21-00:05:30.000      330.698000      -11.343000        0.000000     0.002600000    -0.000983333
2025/06/21-00:05:30.000 2025/06/21-00:06:00.000      258.786000       18.786500        0.000000     0.003400000     0.001350000
2025/06/21-00:06:00.000 2025/06/21-00:06:30.000      283.177000        3.518000        0.000000     0.003033333     0.000766667
2025/06/21-00:06:30.000 2025/06/21-00:07:00.000      232.040500      -29.450000        0.000000     0.007916667    -0.011833333
2025/06/21-00:07:00.000 2025/06/21-00:07:30.000      201.121000      -52.700000        0.000000     0.003116667     0.001900000
2025/06/21-00:07:30.000 2025/06/21-00:08:00.000      264.435500        9.314500        0.000000     0.004150000     0.000583333
2025/06/21-00:08:00.000 2025/06/21-00:08:30.000      219.102000       14.996000        0.000000     0.003550000     0.001000000
2025/06/21-00:08:30.000 2025/06/21-00:09:00.000      192.013000      -14.052500        0.000000     0.019400000    -0.006450000
2025/06/21-00:09:00.000 2025/06/21-00:09:30.000      330.991000        0.626000        0.000000     0.002100000     0.000150000
2025/06/21-00:09:30.000 2025/06/21-00:10:00.000      328.881000        9.038500        0.000000     0.002233333     0.000250000
2025/06/21-00:10:00.000 2025/06/21-00:10:30.000      292.259000      -66.149000        0.000000     0.005416667    -0.000900000
2025/06/21-00:10:30.000 2025/06/21-00:11:00.000       37.837000      -55.793000        0.000000     0.003866667    -0.000500000
2025/06/21-00:11:00.000 2025/06/21-00:11:30.000      245.309000       -3.309000        0.000000     0.003483333     0.000200000
2025/06/21-00:11:30.000 2025/06/21-00:12:00.000      291.647000       14.760000        0.000000     0.003833333    -0.000900000
2025/06/21-00:12:00.000 2025/06/21-00:12:30.000      308.735000       14.616000        0.000000     0.004366667     0.000300000
2025/06/21-00:12:30.000 2025/06/21-00:13:00.000       27.451000      -56.928500        0.000000     0.003900000     0.000883333
2025/06/21-00:13:00.000 2025/06/21-00:13:30.000      214.568000      -62.026000        0.000000     0.005550000     0.001150000
2025/06/21-00:13:30.000 2025/06/21-00:14:00.000      297.119500        6.680000        0.000000     0.001816667     0.000133333
2025/06/21-00:14:00.000 2025/06/21-00:14:30.000      277.313000       30.367000        0.000000     0.000733333    -0.000033333
2025/06/21-00:14:30.000 2025/06/21-00:15:00.000        1.554000      -26.758500        0.000000     0.002566667    -0.004983333
2025/06/21-00:15:00.000 2025/06/21-00:15:30.000      257.117000        8.050000        0.000000     0.004766667     0.000516667
2025/06/21-00:15:30.000 2025/06/21-00:16:00.000      309.168000       25.010000        0.000000     0.003600000    -0.000066667
2025/06/21-00:16:00.000 2025/06/21-00:16:30.000      312.487000       18.360000        0.000000     0.010533333    -0.003200000
2025/06/21-00:16:30.000 2025/06/21-00:17:00.000      305.965500        0.222000        0.000000     0.016116667    -0.001533333
2025/06/21-00:17:00.000 2025/06/21-00:17:30.000      254.891000       21.822000        0.000000     0.004333333     0.000066667
2025/06/21-00:17:30.000 2025/06/21-00:18:00.000      357.920500      -55.339500        0.000000     0.005316667     0.002350000
2025/06/21-00:18:00.000 2025/06/21-00:18:30.000      291.624000      -19.007000        0.000000     0.001650000     0.000433333
2025/06/21-00:18:30.000 2025/06/21-00:19:00.000      290.881500        7.285500        0.000000     0.002016667     0.000083333
2025/06/21-00:19:00.000 2025/06/21-00:19:30.000      231.104000      -64.446000        0.000000     0.005850000    -0.000983333
2025/06/21-00:19:30.000 2025/06/21-00:20:00.000      183.392500      -61.260000        0.000000     0.005016667     0.000033333
2025/06/21-00:20:00.000 2025/06/21-00:20:30.000      229.470000      -11.381000        0.000000     0.002133333     0.000583333
2025/06/21-00:20:30.000 2025/06/21-00:21:00.000      193.390000      -57.710500        0.000000     0.003866667     0.001116667
2025/06/21-00:21:00.000 2025/06/21-00:21:30.000      320.369000        5.929000        0.000000     0.003850000     0.000033333
2025/06/21-00:21:30.000 2025/06/21-00:22:00.000      354.458500      -12.730000        0.000000     0.002150000     0.003733333
2025/06/21-00:22:00.000 2025/06/21-00:22:30.000      334.971000       -5.875000        0.000000     0.013266667    -0.001950000
2025/06/21-00:22:30.000 2025/06/21-00:23:00.000      337.202000       -7.093500        0.000000     0.001900000     0.000450000
2025/06/21-00:23:00.000 2025/06/21-00:23:30.000      328.367000        5.792000        0.000000     0.005000000     0.001450000
2025/06/21-00:23:30.000 2025/06/21-00:24:00.000      307.274500       -9.534500        0.000000     0.007350000     0.000183333
2025/06/21-00:24:00.000 2025/06/21-00:24:30.000      333.578000      -12.380000        0.000000     0.002450000    -0.000833333
2025/06/21-00:24:30.000 2025/06/21-00:25:00.000      336.697000      -53.026000        0.000000     0.004033333     0.002166667
2025/06/21-00:25:00.000 2025/06/21-00:25:30.000      334.683000       -8.381000        0.000000     0.002800000    -0.000516667
2025/06/21-00:25:30.000 2025/06/21-00:26:00.000      208.508500      -18.529500        0.000000     0.013416667    -0.002783333
2025/06/21-00:26:00.000 2025/06/21-00:26:30.000      278.621000       12.168000        0.000000     0.002016667    -0.000016667
2025/06/21-00:26:30.000 2025/06/21-00:27:00.000      333.208000        0.811000        0.000000     0.002133333     0.000200000
2025/06/21-00:27:00.000 2025/06/21-00:27:30.000      177.825000      -60.910000        0.000000     0.005516667    -0.000133333
2025/06/21-00:27:30.000 2025/06/21-00:28:00.000      290.811000       19.617000        0.000000     0.004233333    -0.000566667
2025/06/21-00:28:00.000 2025/06/21-00:28:30.000      263.628000       20.687000        0.000000     0.003816667     0.001466667
2025/06/21-00:28:30.000 2025/06/21-00:29:00.000      253.983000        9.550000        0.000000     0.004133333     0.000666667
2025/06/21-00:29:00.000 2025/06/21-00:29:30.000      326.040000       -9.983000        0.000000     0.004600000     0.009516667
2025/06/21-00:29:30.000 2025/06/21-00:30:00.000      321.318000      -43.895500        0.000000     0.003266667    -0.003683333
2025/06/21-00:30:00.000 2025/06/21-00:30:30.000      273.376000        1.316000        0.000000     0.002966667     0.000750000
2025/06/21-00:30:30.000 2025/06/21-00:31:00.000      287.514000        4.643000        0.000000     0.002866667     0.000766667
2025/06/21-00:31:00.000 2025/06/21-00:31:30.000      339.035000        5.287000        0.000000     0.004083333    -0.000866667
2025/06/21-00:31:30.000 2025/06/21-00:32:00.000      296.750000       13.622000        0.000000     0.004733333    -0.001000000
2025/06/21-00:32:00.000 2025/06/21-00:32:30.000      205.604000      -49.690000        0.000000     0.002866667     0.002133333
2025/06/21-00:32:30.000 2025/06/21-00:33:00.000      299.106500       12.608000        0.000000     0.004150000    -0.000433333
2025/06/21-00:33:00.000 2025/06/21-00:33:30.000      249.758000       -3.005000        0.000000     0.003266667     0.000250000
2025/06/21-00:33:30.000 2025/06/21-00:34:00.000      335.478000        6.067000        0.000000     0.003600000    -0.000466667
2025/06/21-00:34:00.000 2025/06/21-00:34:30.000      329.845000       15.535000        0.000000     0.004250000    -0.000950000
2025/06/21-00:34:30.000 2025/06/21-00:35:00.000      313.524000       24.910000        0.000000     0.004066667    -0.000100000
2025/06/21-00:35:00.000 2025/06/21-00:35:30.000      242.764000        7.376000        0.000000     0.004133333     0.000650000
2025/06/21-00:35:30.000 2025/06/21-00:36:00.000       32.683000      -55.583500        0.000000     0.003700000     0.001083333
2025/06/21-00:36:00.000 2025/06/21-00:36:30.000      228.545000       16.119000        0.000000     0.012850000    -0.002083333
2025/06/21-00:36:30.000 2025/06/21-00:37:00.000      334.045500       -0.801500        0.000000     0.033350000     0.000550000
2025/06/21-00:37:00.000 2025/06/21-00:37:30.000       44.108000      -56.429000        0.000000     0.004016667    -0.000283333
2025/06/21-00:37:30.000 2025/06/21-00:38:00.000      222.695000      -59.962500        0.000000     0.005500000     0.001683333
2025/06/21-00:38:00.000 2025/06/21-00:38:30.000      245.164000      -45.240000        0.000000     0.006283333    -0.005816667
2025/06/21-00:38:30.000 2025/06/21-00:39:00.000      231.804000      -10.703500        0.000000     0.002066667     0.000616667
2025/06/21-00:39:00.000 2025/06/21-00:39:30.000      189.236000      -61.088000        0.000000     0.004983333     0.000266667
2025/06/21-00:39:30.000 2025/06/21-00:40:00.000      302.418000      -67.422500        0.000000     0.006066667    -0.000516667
2025/06/21-00:40:00.000 2025/06/21-00:40:30.000      293.531000        7.402000        0.000000     0.002083333     0.000116667
2025/06/21-00:40:30.000 2025/06/21-00:41:00.000        5.226500      -51.569500        0.000000     0.005283333     0.003150000
2025/06/21-00:41:00.000 2025/06/21-00:41:30.000      339.299000       -6.576000        0.000000     0.001883333     0.000483333
2025/06/21-00:41:30.000 2025/06/21-00:42:00.000      333.314000        9.560500        0.000000     0.002400000     0.000316667
2025/06/21-00:42:00.000 2025/06/21-00:42:30.000      239.195000      -65.523000        0.000000     0.005866667    -0.000566667
2025/06/21-00:42:30.000 2025/06/21-00:43:00.000      337.404500       10.742000        0.000000     0.004050000    -0.001033333
2025/06/21-00:43:00.000 2025/06/21-00:43:30.000      328.908000       13.029000        0.000000     0.009700000    -0.003316667
2025/06/21-00:43:30.000 2025/06/21-00:44:00.000      336.377500      -13.286500        0.000000     0.002350000    -0.000716667
2025/06/21-00:44:00.000 2025/06/21-00:44:30.000      294.214000      -18.282000        0.000000     0.001666667     0.000500000
2025/06/21-00:44:30.000 2025/06/21-00:45:00.000      293.331000       19.460500        0.000000     0.004266667    -0.000216667
2025/06/21-00:45:00.000 2025/06/21-00:45:30.000      335.603000        1.050000        0.000000     0.002183333     0.000250000
2025/06/21-00:45:30.000 2025/06/21-00:46:00.000      350.533500       -7.386000        0.000000     0.009150000    -0.000400000
2025/06/21-00:46:00.000 2025/06/21-00:46:30.000      318.453000       -8.894000        0.000000     0.009416667     0.000850000
