FileName SurveyVisibilities.dat
FileStartTime 2025/06/21-00:00:00.000
FileStopTime 2025/06/24-00:00:00.000
VisibList 7420
2025/06/21-22:18:00.726 2025/06/21-22:18:13.439 TFRM TFRM____ 61015CH                    0.100000
2025/06/23-02:12:26.001 2025/06/23-02:12:56.000 TFRM TFRM____ 62029A                     0.100000
2025/06/23-02:12:56.000 2025/06/23-02:13:26.000 TFRM TFRM____ 62029A                     0.100000
2025/06/22-01:23:47.001 2025/06/22-01:24:17.000 TFRM TFRM____ 63004A                     0.100000
2025/06/22-01:26:17.001 2025/06/22-01:26:47.000 TFRM TFRM____ 63004A                     0.100000
2025/06/22-02:30:47.001 2025/06/22-02:31:17.000 TFRM TFRM____ 63013B                     0.100000
2025/06/22-02:31:17.000 2025/06/22-02:31:47.000 TFRM TFRM____ 63013B                     0.100000
2025/06/22-02:33:17.001 2025/06/22-02:33:47.000 TFRM TFRM____ 63013B                     0.100000
2025/06/21-21:50:17.001 2025/06/21-21:50:39.220 TFRM TFRM____ 63014E                     0.100000
2025/06/22-22:14:26.000 2025/06/22-22:14:56.000 TFRM TFRM____ 63014C                     0.100000
2025/06/23-02:10:12.048 2025/06/23-02:10:26.000 TFRM TFRM____ 64006C                     0.100000
2025/06/23-02:10:26.000 2025/06/23-02:10:38.775 TFRM TFRM____ 64006C                     0.100000
2025/06/21-00:59:30.001 2025/06/21-01:00:00.000 TFRM TFRM____ 64040A                     0.100000
2025/06/21-01:01:30.001 2025/06/21-01:02:00.000 TFRM TFRM____ 64040A                     0.100000
2025/06/21-21:50:47.001 2025/06/21-21:51:17.000 TFRM TFRM____ 64047A                     0.100000
2025/06/22-01:05:17.001 2025/06/22-01:05:47.000 TFRM TFRM____ 64047A                     0.100000
2025/06/22-01:11:47.001 2025/06/22-01:12:17.000 TFRM TFRM____ 64047A                     0.100000
2025/06/22-01:13:17.001 2025/06/22-01:13:47.000 TFRM TFRM____ 64047A                     0.100000
2025/06/22-01:16:47.001 2025/06/22-01:17:17.000 TFRM TFRM____ 64047A                     0.100000
2025/06/22-02:08:47.001 2025/06/22-02:09:14.548 TFRM TFRM____ 64047A                     0.100000
2025/06/22-02:09:47.001 2025/06/22-02:10:17.000 TFRM TFRM____ 64047A                     0.100000
2025/06/22-22:01:56.001 2025/06/22-22:02:26.000 TFRM TFRM____ 64047A                     0.100000
2025/06/23-23:32:32.001 2025/06/23-23:33:02.000 TFRM TFRM____ 64047A                     0.100000
2025/06/21-23:06:47.001 2025/06/21-23:07:17.000 TFRM TFRM____ 65028A                     0.100000
2025/06/22-22:25:26.001 2025/06/22-22:25:56.000 TFRM TFRM____ 65028A                     0.100000
2025/06/22-22:35:56.001 2025/06/22-22:36:26.000 TFRM TFRM____ 65028A                     0.100000
2025/06/22-22:37:56.001 2025/06/22-22:38:26.000 TFRM TFRM____ 65028A                     0.100000
2025/06/22-22:41:26.001 2025/06/22-22:41:56.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-01:25:26.001 2025/06/23-01:25:56.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-01:26:56.001 2025/06/23-01:27:26.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-01:30:26.001 2025/06/23-01:30:56.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-02:33:56.001 2025/06/23-02:34:26.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-02:34:26.000 2025/06/23-02:34:56.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-22:39:32.001 2025/06/23-22:40:02.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-22:44:02.001 2025/06/23-22:44:32.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-23:05:32.001 2025/06/23-23:06:02.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-23:06:02.000 2025/06/23-23:06:32.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-23:06:32.000 2025/06/23-23:07:02.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-23:08:32.001 2025/06/23-23:09:02.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-23:10:02.001 2025/06/23-23:10:32.000 TFRM TFRM____ 65028A                     0.100000
2025/06/23-23:11:32.001 2025/06/23-23:12:02.000 TFRM TFRM____ 65028A                     0.100000
2025/06/21-23:27:47.001 2025/06/21-23:28:17.000 TFRM TFRM____ 65034B                     0.100000
2025/06/21-23:28:47.001 2025/06/21-23:29:15.011 TFRM TFRM____ 65034B                     0.100000
2025/06/23-01:30:26.001 2025/06/23-01:30:56.000 TFRM TFRM____ 65034B                     0.100000
