ScheduleName PlannedSchedule.dat
ScheduleStartTime 2025/06/21-00:00:00.000
ScheduleStopTime 2025/06/23-23:59:32.000
TaskList 1897
TFRM-000001                      follow-up       4 2025/06/21-00:00:00.000 2025/06/21-00:00:30.000 TFRM TFRM     I99073D    ALL          25   0.0        0.000000       17.357239
TFRM-000002                      follow-up       4 2025/06/21-00:00:30.000 2025/06/21-00:01:00.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.831433
TFRM-000003                      follow-up       4 2025/06/21-00:01:00.000 2025/06/21-00:01:30.000 TFRM TFRM     I98005B    ALL          25   0.0        0.000000       17.028612
TFRM-000004                      follow-up       4 2025/06/21-00:01:30.000 2025/06/21-00:02:00.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.816643
TFRM-000005                      follow-up       4 2025/06/21-00:02:00.000 2025/06/21-00:02:30.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.809193
TFRM-000006                      follow-up       4 2025/06/21-00:02:30.000 2025/06/21-00:03:00.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.801707
TFRM-000007                      follow-up       4 2025/06/21-00:03:00.000 2025/06/21-00:03:30.000 TFRM TFRM     I77047D    ALL          25   0.0        0.000000       17.290006
TFRM-000008                      follow-up       4 2025/06/21-00:03:30.000 2025/06/21-00:04:00.000 TFRM TFRM     I77047D    ALL          25   0.0        0.000000       17.284188
TFRM-000009                      follow-up       4 2025/06/21-00:04:00.000 2025/06/21-00:04:30.000 TFRM TFRM     I99073D    ALL          25   0.0        0.000000       17.245765
TFRM-000010                      follow-up       4 2025/06/21-00:04:30.000 2025/06/21-00:05:00.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.771399
TFRM-000011                      follow-up       4 2025/06/21-00:05:00.000 2025/06/21-00:05:30.000 TFRM TFRM     I99073D    ALL          25   0.0        0.000000       17.216551
TFRM-000012                      follow-up       4 2025/06/21-00:05:30.000 2025/06/21-00:06:00.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.756027
TFRM-000013                      follow-up       4 2025/06/21-00:06:00.000 2025/06/21-00:06:30.000 TFRM TFRM     I77047D    ALL          25   0.0        0.000000       17.254812
TFRM-000014                      follow-up       4 2025/06/21-00:06:30.000 2025/06/21-00:07:00.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.740510
TFRM-000015                      follow-up       4 2025/06/21-00:07:00.000 2025/06/21-00:07:30.000 TFRM TFRM     I77047D    ALL          25   0.0        0.000000       17.242929
TFRM-000016                      follow-up       4 2025/06/21-00:07:30.000 2025/06/21-00:08:00.000 TFRM TFRM     I98005B    ALL          25   0.0        0.000000       17.193989
TFRM-000017                      follow-up       4 2025/06/21-00:08:00.000 2025/06/21-00:08:30.000 TFRM TFRM     I98005B    ALL          25   0.0        0.000000       17.206136
TFRM-000018                      follow-up       4 2025/06/21-00:08:30.000 2025/06/21-00:09:00.000 TFRM TFRM     I77047D    ALL          25   0.0        0.000000       17.224961
TFRM-000019                      follow-up       4 2025/06/21-00:09:00.000 2025/06/21-00:09:30.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.701087
TFRM-000020                      follow-up       4 2025/06/21-00:09:30.000 2025/06/21-00:10:00.000 TFRM TFRM     I96070B    ALL          25   0.0        0.000000       16.693095
