FileName SurveyMidPoint.dat
FileStartTime 2025/06/21-00:00:00.000
FileStopTime 2025/06/24-00:00:00.000
MidPointEvents 7420
2025/06/21-22:18:07.082 TFRM          000000261     0.2652399922    1.7347600078  158.2779444508   70.9949002804  138.9525426078       1346.7740    6.3827354827   23.6172645173   21.7218677037
2025/06/23-02:12:41.000 TFRM          000000340     0.0368361240    1.9631638760  167.6015401803   84.3336233704  145.3662149722       5861.8773    9.9218483913   20.0781516087   12.3979855501
2025/06/23-02:13:11.000 TFRM          000000340     0.0379045555    1.9620954445  166.8861450027   84.7920789036  144.1858444745       5746.4466    9.8815096116   20.1184903884   13.1133636969
2025/06/22-01:24:02.000 TFRM          000000553     0.0021763629    1.9978236371  167.2325459891   83.9309177135  131.7404786131      37117.7687   14.9705108089   15.0294891911   12.7643634204
2025/06/22-01:26:32.000 TFRM          000000553     0.0021796401    1.9978203599  166.9163831819   84.2528225847  131.1550128100      37106.3196   14.9711149676   15.0288850324   13.0804519884
2025/06/22-02:31:02.000 TFRM          000000575     0.0137412387    1.9862587613  154.7491255518  114.9597828169  110.3718555229      11638.3813   14.3033465046   15.6966534954   25.2490035614
2025/06/22-02:31:32.000 TFRM          000000575     0.0138876723    1.9861123277  154.3627593167  115.2464470459  109.9217901574      11558.5938   14.2913694266   15.7086305734   25.6353560981
2025/06/22-02:33:32.000 TFRM          000000575     0.0145211914    1.9854788086  152.7298027961  116.4259508358  108.0644969238      11233.8739   14.2424766040   15.7575233960   27.2682575422
2025/06/21-21:50:28.110 TFRM          000000602     0.0716475039    1.9283524961  118.0398899248   33.2035428411  161.5395143537       4611.7018   11.8069455173   18.1930544827   61.9585761088
2025/06/22-22:14:41.000 TFRM          000000608     0.0661076595    1.9338923405  119.7065025552   37.4614241509  152.6786765701       4944.9879   11.4690421194   18.5309578806   60.2918789036
2025/06/23-02:10:19.024 TFRM          000000750     0.1567214543    1.8432785457  159.2830348475   87.0281342955  135.5108804258       2395.8421    7.6344027695   22.3655972305   20.7166457746
2025/06/23-02:10:32.387 TFRM          000000750     0.1550015188    1.8449984812  160.4982904764   88.9348747983  135.2538120624       2413.4587    7.6428578432   22.3571421568   19.5014059110
2025/06/21-00:59:45.000 TFRM          000000836     0.0035033447    1.9964966553  128.5886338139   76.3622002397   97.7749558345     134959.8317   18.3949188993   11.6050811007   51.3716301565
2025/06/21-01:01:45.000 TFRM          000000836     0.0035048233    1.9964951767  128.6292307013   76.4086836591   97.7750034649     134898.4801   18.3933142724   11.6066857276   51.3310738100
2025/06/21-21:51:02.000 TFRM          000000858     0.0004405233    1.9995594767  126.0105765678   39.2199201601  165.0947377531      37665.9628   14.4277884754   15.5722115246   53.9779426375
2025/06/22-01:05:32.000 TFRM          000000858     0.0004533253    1.9995466747  165.1011748056   80.2965055969  134.0856234769      38090.3494   14.0510164122   15.9489835878   14.8951352882
2025/06/22-01:12:02.000 TFRM          000000858     0.0004478243    1.9995521757  165.5516667528   81.7798720868  132.6805517342      38104.4993   14.0497745329   15.9502254671   14.4447511707
2025/06/22-01:13:32.000 TFRM          000000858     0.0004465044    1.9995534956  165.6332522680   82.1225346390  132.3557694633      38107.7452   14.0495949281   15.9504050719   14.3631851525
2025/06/22-01:17:02.000 TFRM          000000858     0.0004433514    1.9995566486  165.7895031723   82.9225615566  131.5972153628      38115.2891   14.0493320132   15.9506679868   14.2069714952
2025/06/22-02:09:00.774 TFRM          000000858     0.0003850530    1.9996149470  162.5882244307   94.8633131566  120.2461540910      38221.1067   14.0709766995   15.9290233005   17.4074663766
